timestamp,gyro(x),gyro(y),gyro(z)
1619039662322,1.5258789E-4,1.8310547E-4,-1.6784668E-4
1619039662523,1.5258789E-4,1.8310547E-4,-2.746582E-4
1619039662722,-2.593994E-4,-3.0517578E-5,-3.8146973E-4
1619039662918,4.5776367E-5,-3.0517578E-5,-1.6784668E-4
1619039663236,3.6621094E-4,-6.713867E-4,-2.746582E-4
1619039663436,-2.746582E-4,9.3078613E-4,-4.8828125E-4
1619039663640,2.593994E-4,7.6293945E-5,-3.8146973E-4
1619039663850,-6.1035156E-5,-1.373291E-4,-2.746582E-4
1619039664035,-2.593994E-4,7.6293945E-5,4.5776367E-5
1619039664235,2.593994E-4,1.8310547E-4,-2.746582E-4
1619039664441,-1.6784668E-4,-1.373291E-4,-1.6784668E-4
1619039664636,1.5258789E-4,3.9672852E-4,-1.6784668E-4
1619039664835,-1.6784668E-4,7.6293945E-5,-4.8828125E-4
1619039665038,2.593994E-4,-3.0517578E-5,-1.6784668E-4
1619039665238,4.5776367E-5,2.89917E-4,-4.8828125E-4
1619039665450,-4.7302246E-4,7.6293945E-5,-6.1035156E-5
1619039665633,-2.746582E-4,3.9672852E-4,-1.6784668E-4
1619039665833,3.6621094E-4,-2.4414062E-4,-5.950928E-4
1619039666073,2.593994E-4,-6.713867E-4,-5.950928E-4
1619039666235,-6.866455E-4,0.0012512207,-2.746582E-4
1619039666453,1.5258789E-4,7.6293945E-5,-2.746582E-4
1619039666632,4.5776367E-5,7.171631E-4,-2.746582E-4
1619039666832,2.593994E-4,-3.0517578E-5,-4.8828125E-4
1619039667032,1.5258789E-4,-2.4414062E-4,4.5776367E-5
1619039667233,-1.6784668E-4,7.6293945E-5,-3.8146973E-4
1619039667471,4.7302246E-4,-0.0018463135,-1.6784668E-4
1619039667671,-2.746582E-4,0.0016784668,-2.746582E-4
1619039667910,-6.1035156E-5,-3.0517578E-5,-2.746582E-4
1619039668069,4.5776367E-5,-3.0517578E-5,-7.019043E-4
1619039668270,-6.1035156E-5,2.89917E-4,-4.8828125E-4
1619039668469,-3.8146973E-4,8.239746E-4,-6.1035156E-5
1619039668670,4.5776367E-5,-4.5776367E-4,-2.746582E-4
1619039668873,5.79834E-4,-1.373291E-4,-4.8828125E-4
1619039669072,-1.6784668E-4,7.6293945E-5,-7.019043E-4
1619039669258,1.5258789E-4,1.8310547E-4,-1.6784668E-4
1619039669430,1.5258789E-4,-1.373291E-4,4.5776367E-5
1619039669593,-3.8146973E-4,6.1035156E-4,-6.1035156E-5
1619039669792,-6.1035156E-5,3.9672852E-4,-6.1035156E-5
1619039669988,3.6621094E-4,-1.373291E-4,-2.746582E-4
1619039670191,4.5776367E-5,-3.0517578E-5,-1.6784668E-4
